scope,role,path
S_MedicalDebt_NW,search image,creatives/17221793860727033070.jpg
S_MedicalDebt_NW,search image,creatives/12326775151082893620.jpg
S_MedicalDebt_NW,search image,creatives/8740874514523327346.jpg
S_MedicalDebt_NW,search image,creatives/4763342486563356181.jpg
S_MedicalDebt_NW,search image,creatives/95074475711051481.jpg
S_PaydayLoan_NW,search image,creatives/4678144380095204004.jpg
S_PaydayLoan_NW,search image,creatives/12747298491246855321.png
S_PaydayLoan_NW,search image,creatives/4181739715183792482.png
S_PaydayLoan_NW,search image,creatives/16915554719853257775.png
S_PaydayLoan_NW,search image,creatives/7269870354561888934.png
S_PaydayLoan_NW,search image,creatives/6403312953620359879.jpg
S_PaydayLoan_NW,search image,creatives/11431283842869882663.png
S_PaydayLoan_NW,search image,creatives/12114998437831571336.png
S_PaydayLoan_NW,search image,creatives/12719130973583147061.jpg
S_PaydayLoan_NW,search image,creatives/871386309015282469.png
S_PaydayLoan_NW,search image,creatives/8718132841380230811.jpg
S_PaydayLoan_NW,search image,creatives/14532433661126105828.jpg
S_PaydayLoan_NW,search image,creatives/11388486790895971703.jpg
S_PaydayLoan_NW,search image,creatives/9960632707950966792.jpg
S_PaydayLoan_NW,search image,creatives/488056723169010161.jpg
S_PaydayLoan_NW,search image,creatives/17221793860727033070.jpg
S_PaydayLoan_NW,search image,creatives/12326775151082893620.jpg
S_PaydayLoan_NW,search image,creatives/8740874514523327346.jpg
S_PaydayLoan_NW,search image,creatives/4763342486563356181.jpg
S_PaydayLoan_NW,search image,creatives/95074475711051481.jpg
PMax/Harassment,landscape 1.91:1,creatives/4388079466311421260.jpg
PMax/Harassment,landscape 1.91:1,creatives/2232667615549641579.jpg
PMax/Harassment,landscape 1.91:1,creatives/906769791381549719.jpg
PMax/Harassment,landscape 1.91:1,creatives/7839317366585756640.jpg
PMax/Harassment,landscape 1.91:1,creatives/15838574335205574330.png
PMax/Harassment,landscape 1.91:1,creatives/4250663023879392861.png
PMax/Harassment,square 1:1,creatives/12962276670207616251.jpg
PMax/Harassment,square 1:1,creatives/6876093685323911673.jpg
PMax/Harassment,square 1:1,creatives/15864712395696854368.jpg
PMax/Harassment,square 1:1,creatives/15838574335205574330.png
PMax/Harassment,portrait 4:5,creatives/12717141593674796074.jpg
PMax/Harassment,portrait 4:5,creatives/14136210781228345983.jpg
PMax/Harassment,portrait 4:5,creatives/15838574335205574330.png
PMax/Harassment,portrait 9:16,creatives/15838574335205574330.png
PMax/Collection_Lawsuit,landscape 1.91:1,creatives/15749177018745725430.jpg
PMax/Collection_Lawsuit,landscape 1.91:1,creatives/2232667615549641579.jpg
PMax/Collection_Lawsuit,landscape 1.91:1,creatives/906769791381549719.jpg
PMax/Collection_Lawsuit,square 1:1,creatives/12962276670207616251.jpg
PMax/Collection_Lawsuit,square 1:1,creatives/6876093685323911673.jpg
