ad_set,ad,version,ratio,placement,status,file,url
AS_A3_three-things,A3_three-things-light,Light style,1:1,"Right column, Search, Marketplace",upload,S4_quiz_light_1x1.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S4_quiz_light_1x1.jpg
AS_A3_three-things,A3_three-things-light,Light style,4:5,Feeds + Stories/Reels (default),upload,S4_quiz_light_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S4_quiz_light_4x5.jpg
AS_A3_three-things,A3_three-things-light,Light style,9:16,Stories/Reels — after safe-zone fix,hold — disclaimer in Stories/Reels unsafe zone,S4_quiz_light_9x16.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S4_quiz_light_9x16.jpg
AS_A3_three-things,A3_three-things-v4,Designer set 2,16:9,—,not used by Meta,S4_quiz_v4_16x9.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S4_quiz_v4_16x9.jpg
AS_A3_three-things,A3_three-things-v4,Designer set 2,1:1,"Right column, Search, Marketplace",upload,S4_quiz_v4_1x1.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S4_quiz_v4_1x1.jpg
AS_A3_three-things,A3_three-things-v4,Designer set 2,4:5,Feeds + Stories/Reels (default),upload,S4_quiz_v4_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S4_quiz_v4_4x5.jpg
AS_A3_three-things,A3_three-things-v4,Designer set 2,9:16,Stories/Reels — after safe-zone fix,hold — disclaimer in Stories/Reels unsafe zone,S4_quiz_v4_9x16.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S4_quiz_v4_9x16.jpg
AS_A3_three-things,A3_three-things-video,Video,4:5,Feeds + Stories/Reels (default),upload,V3_do-they-own-it_4x5.mp4,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/video/V3_do-they-own-it_4x5.mp4
AS_A3_three-things,A3_three-things-video,Video,9:16,Stories/Reels — after safe-zone fix,hold — disclaimer in Stories/Reels unsafe zone,V3_do-they-own-it_9x16.mp4,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/video/V3_do-they-own-it_9x16.mp4
AS_A4_before-after,A4_before-after-v3,Designer set 1,16:9,—,not used by Meta,S3_before-after_v3_16x9.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S3_before-after_v3_16x9.jpg
AS_A4_before-after,A4_before-after-v3,Designer set 1,1:1,"Right column, Search, Marketplace",upload,S3_before-after_v3_1x1.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S3_before-after_v3_1x1.jpg
AS_A4_before-after,A4_before-after-v3,Designer set 1,4:5,Feeds + Stories/Reels (default),upload,S3_before-after_v3_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S3_before-after_v3_4x5.jpg
AS_A4_before-after,A4_before-after-v3,Designer set 1,9:16,Stories/Reels — after safe-zone fix,hold — disclaimer in Stories/Reels unsafe zone,S3_before-after_v3_9x16.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S3_before-after_v3_9x16.jpg
AS_A4_before-after,A4_before-after-light,Light style,16:9,—,not used by Meta,S3_before-after_light_16x9.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S3_before-after_light_16x9.jpg
AS_A4_before-after,A4_before-after-light,Light style,1:1,"Right column, Search, Marketplace",upload,S3_before-after_light_1x1.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S3_before-after_light_1x1.jpg
AS_A4_before-after,A4_before-after-light,Light style,4:5,Feeds + Stories/Reels (default),upload,S3_before-after_light_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S3_before-after_light_4x5.jpg
AS_A4_before-after,A4_before-after-light,Light style,9:16,Stories/Reels — after safe-zone fix,hold — disclaimer in Stories/Reels unsafe zone,S3_before-after_light_9x16.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S3_before-after_light_9x16.jpg
AS_A4_before-after,A4_before-after-v4,Designer set 2,16:9,—,not used by Meta,S3_before-after_v4_16x9.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S3_before-after_v4_16x9.jpg
AS_A4_before-after,A4_before-after-v4,Designer set 2,1:1,"Right column, Search, Marketplace",upload,S3_before-after_v4_1x1.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S3_before-after_v4_1x1.jpg
